accepted,active,ans_num,answer,author,combination,link,question,reputation,time,title,viewed,vote
Accepted,2010-05-10 16:29:44Z,9,"Keeping your data lying around in a header makes it trickier to get at using other programs like Perl. Another approach you might consider is to keep this data in a database or another file and regenerate your header file as-needed, maybe even as part of your build system. The reason for this is that generating C is much easier than parsing C, it's trivial to write a script that parses a text file and makes a header for you, and such a script could even be invoked from your build system. ,Assuming that you want to keep your data in a C header file, you will need one of two things to solve this problem:,The first case seems more common than the second to me, but it's hard to tell from your question if this is better solved by a script that needs to parse arbitrary C or a script that needs to parse this specific file. For code that works on your specific case, the following works for me on your input:,Parsing arbitrary C is a little tricky and not worth it for many applications, but maybe you need to actually do this. One trick is to let GCC do the parsing for you and read in GCC's parse tree using a CPAN module named ,. 
Here's the GCC command to compile the code, assuming you have a single file named test.c:,gcc -fdump-translation-unit -c test.c ,Here's the Perl code to read in the parse tree:",Alphaneo,"python,c,perl,parsing,header-files",https://stackoverflow.com/questions/994732/how-can-i-parse-a-c-header-file-with-perl,"I have a header file in which there is a large struct. I need to read this structure using some program and make some operations on each member of the structure and write them back.,For example I have some structure like ,Now, I need to read this and apply some operation on each of the member variable and create a new structure with different order, something like:,Is there any Perl library already available for this? If not Perl, something else like Python is also OK.,Can somebody please help!!!","reputation score 11,011",2009-06-15 06:33:14Z,How can I parse a C header file with Perl?,"
                        7k times
                    ","
            6
        "
Accepted,2013-03-27 00:12:01Z,4,"There is no standard C implementation for a strip() or trim() function.  That said, here's the one included in the Linux kernel:",sudharsh,"python,c,string,fgets",https://stackoverflow.com/questions/1488372/mimic-pythons-strip-function-in-c,"I started on a little toy project in C lately and have been scratching my head over the best way to mimic the strip() functionality that is part of the python string objects. ,Reading around for fscanf or sscanf says that the string is processed upto the first whitespace that is encountered.,fgets doesn't help either as I still have newlines sticking around.
I did try a strchr() to search for a whitespace and setting the returned pointer to '\0' explicitly but that doesn't seem to work.",reputation score ,2009-09-28 17:41:06Z,Mimic Python's strip() function in C,"
                        13k times
                    ","
            6
        "
Accepted,2020-05-22 21:12:28Z,4,"Sure, why not? Of course, you'd need GCC installed (or llvm) so you have something to compile with. You can just use os.system, or any of the other ways for calling an external program.,Of course, you're probably better off looking at something like ,, which already exists to solve this problem.,Plus, to answer the question actually asked, there's nothing that would prevent you from writing a compiler/assembler/linker in python, they're just programs like anything else. Performance probably wouldn't be very good though.",RanZilber,"python,c,compiler-construction,compilation,compiler-errors",https://stackoverflow.com/questions/9420673/is-it-possible-to-compile-c-code-using-python,"I want to build a python program that get as input a path to .c file and then it compile its.,The program will output OK to the screen if the compilation is sucessful, and BAD otherwise.,I'm been trying to google it, but could not find anything. I've been also trying to run cmd within python with an argument of the compiling program but it didn't work.,To clarify -  I've already got a very specific compiler in my machine which I want to run. I dont want python to act as a compiler. Just get a code, run my compiler over it, and see what's the answer.,Thanks",reputation score ,2012-02-23 20:24:26Z,Is it possible to compile c code using python?,"
                        17k times
                    ","
            6
        "
Undetermined,2021-03-23 11:42:03Z,2,"Mentioning , (although this doesn't have very much to do with it) just in case.,The underlying error is , (,, ,). Check it in ,. It's a , (not related to ,). In the current case (related to ,), the exception is a (,) wrapper over it.,The error message is confusing (especially because of , placeholder). For more details on that, check ,.,This error occurs when , tries to load what it thinks it's an executable (,) image (,, ,, ...), but it actually isn't. There's a variety of situations when this is encountered (,ing the error, would yield lots of results).,There are a bunch of possible reasons for this to happen when the image is loaded from a file (existing and readable, otherwise the error would differ - ,):,2 main usecases lead to this error:,Below, it's an example of a dummy executable attempting to load a ,.,:,:,As seen, I created a file , containing the text "","", so it's a , file with invalid contents.,The most common case for this error, is an architecture mismatch:,In any of the above 2 cases, even if the , contains a valid image (for a different architecture), it's still invalid from the current process ,. For things to run ,, , ,., does the same thing when loading a ,: it calls , on the , name. ,So this is the exact same case for the , process where , tries to load the , in.,:,:,Here's an example for , ,, which attempts all 4 combinations.,:,:,In the above examples, the , was loaded ""on demand"" by explicitly calling , (or ,). ,The other case is when a , or , depends on (was linked against) another ,, and loads it automatically when itself is being loaded (although I'm almost certain that , - or maybe a lower level function - is automatically called under the hood on the dependent ,). ,In the example below, , depends on ,. Only exemplifying for , (as this is the current build environment set by previous operation).,:,:, (modified):,:,: Same error would occur if instead of writing garbage data into ,, I would have build it for ,, but I chose this variant as it's shorter.,Everything that I'll state in each of the next bullets, also applies to the ones that follow it.",Frédéric Girard,"python,c,windows,dll,ctypes",https://stackoverflow.com/questions/57187566/python-ctypes-loading-dll-throws-oserror-winerror-193-1-is-not-a-valid-win,"I have tried to run an exemple of a python code that gets a function from a library  using ctypes. The exemple can be found ,. I followed the instruction and beside one minor modification, I have used the exact same code. I have been trying to run this on Windows 10 (64-bit), python 3.7 (64-bit) but got this error message:,translated:,I have tried to create a dll instead of a so file and still got the same error. It would seem it tries to run a 32-bit application on a 64-bit system but I'm not sure why. Can anyone help?",reputation score ,2019-07-24 16:32:14Z,Python Ctypes - loading dll throws OSError: [WinError 193] %1 is not a valid Win32 application,"
                        15k times
                    ","
            6
        "
Undetermined,2016-09-21 14:27:43Z,1,"Common , options:,: More complete procedure:,This should create an , in ,.,With a , it's possible to build ,.",EddieV223,"python,c,opengl,mesa",https://stackoverflow.com/questions/17871781/building-mesa-for-windows-7-mesa-9-1,"I went through all the steps on the compiling / installing page on Mesa's site, and read the FAQ.  The final command that you send to scons for compilation throws errors within python scripts.  This is my output.  What am I doing wrong?  Also if anyone has compiled dll's for mesa using up to date mesa and mingw, or VS2012, then please share!,Here is my output, I haven't programmed python in a long time but it appears a map/dictionary doesn't contain the key/value pair.",reputation score ,2013-07-26 02:11:19Z,Building Mesa for windows 7. Mesa 9.1,"
                        8k times
                    ","
            6
        "
Accepted,2016-05-18 18:26:45Z,5,"You don't need build an extension module to do this quickly, you can use NumPy. But for your question, you need some c code like this:,You can't change the content of string object, because string in Python is immutable. You can use ""s#"" to get the , pointer and the buffer length.,If you can use NumPy:",Arty,"python,c",https://stackoverflow.com/questions/15459684/transmission-bytearray-from-python-to-c-and-return-it,"I need fast processing of XOR bytearray, 
In a variant on Python ,works very slow,
I wrote this module in C.
I know C language very badly, before I on it wrote nothing.,
In a variant,everything works as expected, but I need to use instead of s s* because elements can contain embeded null, but if I change s to s* when calling python crash,Maybe some beginner like me want to use my example as a start to write something of his own, so bring all the information to be used in this example on Windows.,
Parsing arguments and building values on page ",reputation score ,2013-03-17 10:22:43Z,Transmission bytearray from Python to C and return it,"
                        9k times
                    ","
            6
        "
Accepted,2018-03-02 17:29:04Z,2,"Most typically you would write some kind of wrapper class that holds the c-level struct, for example:,In usage",Redherring,"python,c,struct,cython",https://stackoverflow.com/questions/49071728/return-a-struct-from-c-to-python-using-cython,"I am trying to pass a struct back into my Python from a c file. Let's say I have a file pointc.c like this:,Then I set-up a point.pyx file like this:,How do I get the returned struct into my Python? Is this kind of thing only possible by creating a struct in the Cython and sending by reference to a void c function?,As a reference, my setup.py is:",reputation score ,2018-03-02 15:00:10Z,Return a struct from C to Python using Cython,"
                        3k times
                    ","
            6
        "
Undetermined,2018-07-02 17:09:33Z,3,,user3059347,"javascript,python,c,google-app-engine,browser",https://stackoverflow.com/questions/25713194/running-c-in-a-browser,"I've spent days of research over the seemingly simple question: is it possible to run C code in a browser at all? Basically, I have a site set up in Appengine that needs to run some C code supplied by (a group of trusted) users and run it, and return the output of the code back to the user. I have two options from here: I either need to completely run the code in the browser, or find some way to have Python run this C code without any system calls.,I've seen mixed responses to my question. I've seen solutions like Emscripten, but that doesn't work because , (I cannot run compilers in AppEngine.) I've tried various techniques, including scraping from the output page on codepad.org, but the output I will produce is so high that I cannot use services like codepad.org because they trim the output (my output will be ~20,000 lines of about 60 characters each, which is trimmed by codepad due to a timeout). My last resort is to make my own server that can serve my requests from my Appengine site, but that seems a little extreme.,The code supplied by my users will be very simple C. There are no I/O or system operations called by their code. Unfortunately, I probably cannot simply use a find/replace operation in their code to translate it to Javascript, because they may use structures like multidimensional arrays or maybe even classes.,I'm fine with limiting my users to one cross-platform browser, e.g. Chrome or Firefox. Can anyone help me find a solution to this question? I've been baffled for days.",reputation score ,2014-09-07 17:58:31Z,Running C in A Browser,"
                        8k times
                    ","
            6
        "
Undetermined,2013-08-29 12:18:11Z,2,"In this example, , to the ,, a Python function is passed to a C function that has the prototype given by ,. You can create a function with the same prototype, called , (callback), and returning the same type, , in this example):,When calling the C function, you can cast your callback wrapper using the C prototype:,In this example it is also shown how to pass arguments to your Python function, through C.",Ivan Oseledets,"python,c,function,callback,cython",https://stackoverflow.com/questions/11700501/python-cython-c-and-callbacks-calling-a-python-function-from-c-using-cython,"I have the following question.
We have to pass callback functions to the C code. If the function is a Cython function in the same module, the situation is quite simple,In Cython:,In C:,The question is as follows: we want to generalize this code in the most Pythonic way so that it can accept also python functions as callback arguments (of course, some additional layer is needed), and also C/Cython functions from another module. I suppose, for C/Cython functions from a separate module one has to get the address of these functions (convert to long int?) and for Python function a certain wrapper is needed",reputation score ,2012-07-28 11:12:50Z,"Python/Cython/C and callbacks, calling a Python function from C using Cython","
                        5k times
                    ","
            6
        "
Accepted,2018-04-25 20:42:30Z,2,"But I will recommend to use , so you don't need to reinstall it with every change, you will be able to frequently edit your code and not have to re-install it again.  , is used to install typically a ready to use third-party packages.,Check here to better understand ,.,:",Dan,"python,c,pip,distutils,setup.py",https://stackoverflow.com/questions/34928001/distutils-ignores-changes-to-setup-py-when-building-an-extension,"I have a setup.py file that builds an extension.  If I change one of the source files, distutils recognizes this and rebuilds the extension, showing all the compile / link commands.,However, if the only thing I change is setup.py (I'm fiddling trying to make library dependencies work), then it doesn't seem to rebuild (e.g., none of the compile/link commands show up).  I've tested this by removing one of the source files in the line,and when I , or ,, it still creates a new file for the extension, but it must be a version cached somewhere, since it shouldn't compile.,How do I clear this cache?  I have tried,or using the , and , flags when doing ,The only way I have found to make it rebuild is if I add garbage in a source file, triggering a rebuild and error, remove the garbage, and , again...",reputation score ,2016-01-21 15:41:03Z,distutils ignores changes to setup.py when building an extension?,"
                        3k times
                    ","
            6
        "
