_id,answers,author,combination,links,questions,reputation,time,views,votes
8954400,4,Surya,c python ,https://stackoverflow.com/questions/8954400/why-python-for-loop-doesnt-work-like-c-for-loop,Why Python for loop doesn't work like C for loop?,"4,570",1/21/2012 16:01,"6,602",6
1891551,9,gsin,c python ,https://stackoverflow.com/questions/1891551/network-programming-python-vs-c-for-a-complete-beginner,Network programming: Python vs. C for a complete beginner [closed],61,12/11/2009 23:32,"8,465",6
994732,9,Alphaneo,c python ,https://stackoverflow.com/questions/994732/how-can-i-parse-a-c-header-file-with-perl,How can I parse a C header file with Perl?,11k,6/15/2009 6:33,"6,815",6
1488372,4,sudharsh,c python ,https://stackoverflow.com/questions/1488372/mimic-pythons-strip-function-in-c,Mimic Python's strip() function in C,177,9/28/2009 17:41,"12,722",6
27218894,9,user3923643,c python ,https://stackoverflow.com/questions/27218894/how-to-find-if-two-numbers-are-consecutive-numbers-in-gray-code-sequence,How to find if two numbers are consecutive numbers in gray code sequence,113,11/30/2014 22:14,"16,016",6
9420673,4,RanZilber,c python ,https://stackoverflow.com/questions/9420673/is-it-possible-to-compile-c-code-using-python,Is it possible to compile c code using python?,"1,694",2/23/2012 20:24,"16,374",6
16722337,1,user1790813,c python ,https://stackoverflow.com/questions/16722337/c-struct-python-equivalent,C struct python equivalent [duplicate],614,5/23/2013 19:31,"28,775",6
57187566,2,Fr??d??ric Girard,c python ,https://stackoverflow.com/questions/57187566/python-ctypes-loading-dll-throws-oserror-winerror-193-1-is-not-a-valid-win,Python Ctypes - loading dll throws OSError: [WinError 193] %1 is not a valid Win32 application,79,7/24/2019 16:32,"14,709",6
17871781,1,EddieV223,c python ,https://stackoverflow.com/questions/17871781/building-mesa-for-windows-7-mesa-9-1,Building Mesa for windows 7. Mesa 9.1,"4,415",7/26/2013 2:11,"7,702",6
15921417,1,akshayb,c python ,https://stackoverflow.com/questions/15921417/creating-own-pos-tagger,Creating own POS Tagger,"1,179",4/10/2013 9:01,"5,416",6
