id,title,vote,answer,view_num,link,time,author,reputation,combination,issues being discuss,solution,question contain code,Solution type,Solved,answer or highest vote,Symptoms ,SDLC,Special case,Taxonomy_Second,Taxonomy_Third
11060,How should I unit test a code-generator?,24,8,6502,https://stackoverflow.com/questions/11060/how-should-i-unit-test-a-code-generator,2008-08-14 13:59:21,jkp,66.8k,c++|python,"I have developed a code-generator that takes our python interface to our C++ code (generated via SWIG) and generates code needed to expose this as WebServices.  Unit tests are complex and brittle, try to think of alternative approaches.",you need to break down the code generator into smaller pieces and unit test those. (12 votes),No,"SA1, SB1",Yes,12,Build,Testing/Debugging,,,
1199470,combine javascript files at deployment in python,13,6,5955,https://stackoverflow.com/questions/1199470/combine-javascript-files-at-deployment-in-python,2009-07-29 11:06:42,Diarmuid Bourke,464,javascript|python,I'm trying to reduce the number of scripts included in our website and we use buildout to handle deployments. Has anybody successfully implemented a method of combining and compressing scripts with buildout?,"(Code snippet)I'm using YUICompressor, but you can change the code to use another compressor. (21 votes)",No,"SA2.1, SB1",Yes,21,Build,DEM,,,
1768717,Non-browser emulation of JavaScript - is it possible?,9,8,9070,https://stackoverflow.com/questions/1768717/non-browser-emulation-of-javascript-is-it-possible,2009-11-20 06:34:24,Talvi Watia,985,javascript|php,"I have a new project I am working on that involves fetching a webpage, (using PHP and cURL) parsing the HTML and javascript out of it and then handling the data in the results.
Basically I hit a brick wall when the site uses javascript to fetch its data by AJAX. In this case, the initial data will not appear in the fetched page unless the javascript is run in a browser.
Are there any PHP libraries for this?",I don't think you're going to be able to do this purely in PHP. You'll have to hook up Java/Rhino/HTMLUnit or a proper web browser like Mozilla.(17 votes),No,"SA2.1, SB1",Yes,17,Build,Design,,,
5506913,Bash script to run php script,41,9,129165,https://stackoverflow.com/questions/5506913/bash-script-to-run-php-script,2011-03-31 22:07:11,mmmbaileys,1211,php|shell,"I have a php script that I want to be run using a bash script, so I can use Cron to run the php script every minute or so.
As far as I'm aware I need to create the bash script to handle the php script which will then allow me to use the Cron tool/timer.","If you have PHP installed as a command line tool (try issuing php to the terminal and see if it works), your shebang (#!) line needs to look like this:
#!/usr/bin/php(76 votes)",Yes,"SA2.1, SA2.2, SB1",Yes,78,Build,Coding,,,
5694706,Py_Initialize fails - unable to load the file system codec,70,14,117811,https://stackoverflow.com/questions/5694706/py-initialize-fails-unable-to-load-the-file-system-codec,2011-04-17 16:22:37,Anton,1346,c++|python,I am attempting to put together a simple c++ test project that uses an embedded python 3.2 interpreter. The project builds fine but Py_Initialize raises a fatal error,Check the PYTHONPATH and PYTHONHOME environment variables and make sure they don't point to Python 2.x.(50 votes),Yes,"SA2.1, SB1",Yes,0,Build,Coding,"self-answer, 0 vote",,
6787015,How can I install various Python libraries in Jython?,47,4,41201,https://stackoverflow.com/questions/6787015/how-can-i-install-various-python-libraries-in-jython,2011-07-22 07:39:34,Mirage,27.6k,java|python,"In Jython, how can I install libraries like lxml, Scrappy and BeautifulSoup that I'd normally install via pip or easy_install","Some Python modules, like lxml, have required components in C. These won't work in Jython.
Most Python packages will work fine, and you can install them using the same tools as you use in CPython.(40 votes)",No,"SA1, SA2.1, SA2.2, SB1, SB2",Yes,41,Build,Design,broken link,,
6917713,How to step into unmanaged C++ library from my C++/CLI code,12,2,5986,https://stackoverflow.com/questions/6917713/how-to-step-into-unmanaged-c-library-from-my-c-cli-code,2011-08-02 19:48:07,Arne Lund,2166,c#|c++,"I have the following three projects in my solution: 1. C# library 2. C++/CLI managed code 3. C++ unmanaged code
I did check ""Enable Unmanaged Code Debugging"" in my C# project, and built both C++ projects in Debug/Win32. However, I cannot step into unmanaged code - when I F11 on the call of any unmanaged method, it shows me some random/wrong code then exits.","1) Enable unmanaged code debugging not checked. 
2) Built the EXE as x64 or Any CPU (they say x64 works, but it doesn't). I think you already fixed this.
3) ""Just my code"" being turned on sometimes causes trouble with unmanaged code debugging (Tools, Options, Debugger, Just My Code)
4) Incorrect debug options in the C++ project settings
5) Missing, corrupted or mismatched PDB files. (10 votes)",No,"SA2.1, SB1",Yes,10,Build,Testing/Debugging,,,
11041299,Python.h: No such file or directory,34,6,53839,https://stackoverflow.com/questions/11041299/python-h-no-such-file-or-directory,2012-06-14 21:02:37,Shubham Goyal,1046,c++|python,"I want to embed Python application in my C++ code. To do that, one needs to include the Python.h header file. So, I did that.","In your CMakeLists.txt, try adding the following:
find_package(PythonLibs REQUIRED)
include_directories(${PYTHON_INCLUDE_DIRS})
target_link_libraries(<your exe or lib> ${PYTHON_LIBRARIES})(49 votes)",Yes,"SA2.2, SB1",Yes,53,Build,Coding,,,
16792792,Project organization with Cython and C++,10,1,2307,https://stackoverflow.com/questions/16792792/project-organization-with-cython-and-c,2013-05-28 13:01:13,clstaudt,16k,c++|python,how to best organize files and build configurations so that Cython-generated and human-written C++ code do not get mixed and the Python extension module is cleanly built seperate from the other targets.,"Basically I have 3 folders :
CPROJECT, The C++ library : producing a libcproject.so shared object
CYPROJECT, The cythonized Python extension : producing the cyproject.so using Cython
DEPENDENCIES, The dependencies : where I copy external requirements for both projects(5 votes)",No,"SA2.1, SA2.2, SB1",Yes,5,Build,Coding,,,
23622923,Is it acceptable practice to unit-test a program in a different language?,27,5,3463,https://stackoverflow.com/questions/23622923/is-it-acceptable-practice-to-unit-test-a-program-in-a-different-language,2014-05-13 04:40:07,WCGPR0,711,c++|python,"I have a static library I created from C++, and would like to test this using a Driver code.","I'd say that it's best to test the API that your users will be exposed to. Other tests are good to have as well, but that's the most important aspect.(28 votes)",No,"SA1, SA2.1, SB1",Yes,28,Build,Testing/Debugging,,,
25882150,Python.h not found using swig and Anaconda Python,10,1,12049,https://stackoverflow.com/questions/25882150/python-h-not-found-using-swig-and-anaconda-python,2014-09-17 04:08:45,Fra,3688,c++|python,Python.h not found,Use the option -I/Users/myuser/anaconda/include/python2.7 in the gcc command.(23 votes),Yes,"SA2.1, SA2.2, SB1",Yes,24,Build,Coding,,,
27672572,"Embedding Python in C, linking fails with undefined reference to `Py_Initialize'",10,5,13691,https://stackoverflow.com/questions/27672572/embedding-python-in-c-linking-fails-with-undefined-reference-to-py-initialize,2014-12-27 23:57:17,Miguellissimo,373,c++|python,linking fails for embedding python in c,"Libraries have to come after the object files when you are linking, so do:
gcc  embedpy.o $(/usr/bin/python2.7-config --ldflags)(17 votes)",Yes,"SA2.2, SB1",Yes,18,Build,Coding,,,
34344934,Specify cython output file,24,3,6926,https://stackoverflow.com/questions/34344934/specify-cython-output-file,2015-12-17 21:52:26,Michael WS,1983,c++|python,Is there a way to determine where the generated c code is written to? ,"You can pass the option build_dir=""directory name"" to Cythonize(18 votes)",Yes,"SA2.1, SA2.2, SB1",Yes,19,Build,Coding,,,
43621948,C++ Python module import error: “undefined symbol: Py_InitModule3” ( Py_InitModule () ),11,1,6273,https://stackoverflow.com/questions/43621948/c-python-module-import-error-undefined-symbol-py-initmodule3-py-initmodu,2017-04-25 22:20:59,Claudio,3247,c++|python,"just starting an attempt to write my first Python extension module in C, the module doesn't load properly on import",The Py_InitModule (Py_InitModule3) is no longer used. It is necessary to create a PyModuleDef structure instead and then pass a reference to it to PyModule_Create.(15 votes),Yes,"SA2.1, SA2.2, SB1",Yes,15,Build,Coding,,,
