id,title,vote,answer,view_num,link,time,author,reputation,combination,relevant
21593,What is the difference between #include <filename> and #include ¡°filename¡±?,2427,28,616606,https://stackoverflow.com/questions/21593/what-is-the-difference-between-include-filename-and-include-filename,2008-08-22 01:40:06,quest49,39.4k,c|c++,no
8547778,Why are elementwise additions much faster in separate loops than in a combined loop?,2270,10,239563,https://stackoverflow.com/questions/8547778/why-are-elementwise-additions-much-faster-in-separate-loops-than-in-a-combined-l,2011-12-17 20:40:52,Johannes Gerer,23.8k,c|c++,no
1041866,What is the effect of extern ¡°C¡± in C++?,1705,15,818744,https://stackoverflow.com/questions/1041866/what-is-the-effect-of-extern-c-in-c,2009-06-25 02:10:07,Litherum,18.5k,c|c++,no
36827659,Compiling an application for use in highly radioactive environments,1474,23,119230,https://stackoverflow.com/questions/36827659/compiling-an-application-for-use-in-highly-radioactive-environments,2016-04-24 19:09:40,rook,61.6k,c|c++,no
1143262,"What is the difference between const int*, const int * const, and int const *?",1399,18,511816,https://stackoverflow.com/questions/1143262/what-is-the-difference-between-const-int-const-int-const-and-int-const,2009-07-17 13:28:09,,,c|c++,no
6908143,"Should I put #! (shebang) in Python scripts, and what form should it take?",870,12,528796,https://stackoverflow.com/questions/6908143/should-i-put-shebang-in-python-scripts-and-what-form-should-it-take,Aug 2 '11 at 6:35,treecoder,32.6k,python|shell,no
154136,Why use apparently meaningless do-while and if-else statements in macros?,806,9,93572,https://stackoverflow.com/questions/154136/why-use-apparently-meaningless-do-while-and-if-else-statements-in-macros,2008-09-30 17:36:24,jfm3,33.2k,c|c++,no
23740548,How do I pass variables and data from PHP to JavaScript?,672,19,789031,https://stackoverflow.com/questions/23740548/how-do-i-pass-variables-and-data-from-php-to-javascript,2014-05-19 14:37:56,Madara's Ghost,153k,javascript|php,yes
12887700,Can code that is valid in both C and C++ produce different behavior when compiled in each language?,667,19,45655,https://stackoverflow.com/questions/12887700/can-code-that-is-valid-in-both-c-and-c-produce-different-behavior-when-compile,2012-10-14 23:54:26,user541686,183k,c|c++,no
612097,How can I get the list of files in a directory using C or C++?,617,26,925444,https://stackoverflow.com/questions/612097/how-can-i-get-the-list-of-files-in-a-directory-using-c-or-c,2009-03-04 19:35:58,samoz,49.7k,c|c++,no
1653958,Why are #ifndef and #define used in C++ header files?,518,4,437629,https://stackoverflow.com/questions/1653958/why-are-ifndef-and-define-used-in-c-header-files,2009-10-31 10:06:34,Asad Khan,9530,c|c++,no
80646,How do the PHP equality (== double equals) and identity (=== triple equals) comparison operators differ?,511,11,313154,https://stackoverflow.com/questions/80646/how-do-the-php-equality-double-equals-and-identity-triple-equals-comp,2008-09-17 06:56:45,nickf,482k,javascript|php,no
34732,How do I list the symbols in a .so file,503,11,389459,https://stackoverflow.com/questions/34732/how-do-i-list-the-symbols-in-a-so-file,2008-08-29 16:57:47,Moe,23.4k,c|c++,no
75191,What is an unsigned char?,486,17,587620,https://stackoverflow.com/questions/75191/what-is-an-unsigned-char,2008-09-16 18:05:18,Landon Kuhn,59.1k,c|c++,no
12774207,Fastest way to check if a file exist using standard C++/C++11/C?,475,20,655498,https://stackoverflow.com/questions/12774207/fastest-way-to-check-if-a-file-exist-using-standard-c-c11-c,2012-10-08 01:10:11,Vincent,47.2k,c|c++,no
4295432,Typedef function pointer?,473,6,424649,https://stackoverflow.com/questions/4295432/typedef-function-pointer,2010-11-28 04:50:25,Jack Harvin,5615,c|c++,no
7724569,Debug vs Release in CMake,456,5,482310,https://stackoverflow.com/questions/7724569/debug-vs-release-in-cmake,2011-10-11 10:26:54,Cartesius00,20.6k,c|c++,no
12717138,What is Linux¡¯s native GUI API?,445,12,116910,https://stackoverflow.com/questions/12717138/what-is-linux-s-native-gui-api,2012-10-03 21:23:50,DavidColson,7029,c|c++,no
383944,What is a Python equivalent of PHP's var_dump()? [duplicate],429,10,281405,https://stackoverflow.com/questions/383944/what-is-a-python-equivalent-of-phps-var-dump,Dec 21 '08 at 0:43,Zoredache,29.2k,php|python,no
5029840,Convert char to int in C and C++,426,12,1793715,https://stackoverflow.com/questions/5029840/convert-char-to-int-in-c-and-c,2011-02-17 13:57:37,mainajaved,6119,c|c++,no
947810,How to save a Python interactive session?,420,20,188692,https://stackoverflow.com/questions/947810/how-to-save-a-python-interactive-session,Jun 3 '09 at 23:21,unmounted,29.1k,python|shell,no
1461432,What is array to pointer decay?,395,9,59467,https://stackoverflow.com/questions/1461432/what-is-array-to-pointer-decay,2009-09-22 17:24:43,Vamsi,4883,c|c++,no
455580,JSON datetime between Python and JavaScript,394,12,185634,https://stackoverflow.com/questions/455580/json-datetime-between-python-and-javascript,2009-01-18 17:51:11,,,javascript|python,yes
137038,How do you get assembler output from C/C++ source in gcc?,391,17,350735,https://stackoverflow.com/questions/137038/how-do-you-get-assembler-output-from-c-c-source-in-gcc,2008-09-26 00:10:21,Doug T.,57.8k,c|c++,no
233328,How do I print the full value of a long string in gdb?,388,6,198449,https://stackoverflow.com/questions/233328/how-do-i-print-the-full-value-of-a-long-string-in-gdb,2008-10-24 12:36:01,John Carter,49k,c|c++,no
168214,Pass a PHP string to a JavaScript variable (and escape newlines) [duplicate],383,14,316763,https://stackoverflow.com/questions/168214/pass-a-php-string-to-a-javascript-variable-and-escape-newlines,2008-10-03 18:27:03,David Laing,7295,javascript|php,no
2053029,How exactly does __attribute__((constructor)) work?,362,5,132891,https://stackoverflow.com/questions/2053029/how-exactly-does-attribute-constructor-work,2010-01-12 22:43:04,Casebash,95.7k,c|c++,no
7093860,PHP shell_exec() vs exec(),350,4,441887,https://stackoverflow.com/questions/7093860/php-shell-exec-vs-exec,Aug 17 '11 at 13:42,Webnet,53.6k,php|shell,no
1273139,C# Java HashMap equivalent,331,7,405000,https://stackoverflow.com/questions/1273139/c-sharp-java-hashmap-equivalent,Aug 13 '09 at 16:35,John,3607,c#|java,no
3789340,Combining C++ and C - how does #ifdef __cplusplus work?,326,4,221752,https://stackoverflow.com/questions/3789340/combining-c-and-c-how-does-ifdef-cplusplus-work,2010-09-24 17:03:28,dublev,3597,c|c++,no
541194,C# version of java's synchronized keyword?,319,5,180066,https://stackoverflow.com/questions/541194/c-sharp-version-of-javas-synchronized-keyword,Feb 12 '09 at 13:23,Soraz,5812,c#|java,no
2172943,Size of character ('a') in C/C++,306,4,288319,https://stackoverflow.com/questions/2172943/size-of-character-a-in-c-c,2010-01-31 19:15:20,whacko__Cracko,5940,c|c++,no
