accepted,active,ans_num,answer,author,combination,link,question,reputation,time,title,viewed,vote
Accepted,2015-05-20 20:53:37Z,1,,jojek,"java,c,java-native-interface,swig",https://stackoverflow.com/questions/30308490/jni-wrapper-for-c-function-using-swig-what-should-be-the-typemap,"I am trying to create the JNI wrapper for the following functions in C:, - input, , - output, - input, , - output,where , is defined as: ,I am all lost in the SWIG manual for Java, since it doesn't simply support input parameters as the output type. I had no problems whatsoever with the Python wrapper (shown below).",855,2015-05-18 16:32:24Z,JNI wrapper for C function using SWIG - what should be the typemap?,"
                        2k times
                    ","
            11
        "
Undetermined,2019-07-09 01:12:00Z,1,,Jenix,"java,c#,c++,c,locking",https://stackoverflow.com/questions/56787106/does-managed-languages-lock-flush-and-reload-variables-of-native-libraries,"When we use locks in managed languages like , and ,, we can always be sure we are dealing with the latest data.,Specifically in Java memory model, they have a guarantee called ,.
But I'm not sure what will happen with native libraries.,Say, I have , functions like this :,I also have , code like this :,As you see, if , from , side is not declared as ,, then is there still a guarantee that , can always get the latest value set by ,?,Does the same apply to , using , too?","2,811",2019-06-27 08:36:33Z,Does managed languages lock flush and reload variables of native libraries?,"
                        119 times
                    ","
            7
        "
Accepted,2021-06-02 09:15:55Z,7,,UserCool,"python,c++",https://stackoverflow.com/questions/24277488/in-python-how-to-capture-the-stdout-from-a-c-shared-library-to-a-variable,"For some other reasons, the c++ shared library I used outputs some texts to standard output. In python, I want to capture the output and ,. There are many similar questions about redirect the stdout, but not work in my code. ,Example: ,In line 5, , will call the shared library, the texts generated by shared library still output to console! If change ,, it works!,My problem is:",303,2014-06-18 05:12:49Z,"In python, how to capture the stdout from a c++ shared library to a variable","
                        13k times
                    ","
            30
        "
Accepted,2011-12-04 03:13:21Z,3,,tomzx,"java,c++,class,struct,java-native-interface",https://stackoverflow.com/questions/1711490/returning-a-c-class-to-java-via-jni,"I'm currently using both C++ and Java in a project and I'd like to be able to send an object which is contained in C++ to my Java interface in order to modify it via a GUI and then send the modification back in C++.,So far I've been returning either nothing, an int or a boolean to Java via the JNI interface. This time I have to send an object through the interface. I have made similar class definition available both in C++ and in Java. ,In C++ I have:,This function would get called by Java in order to get the object from the C++ side (the object is contained in a singleton, easily accessible).,On the Java end, I do a simple call to this method,,which should return me the newly created object.,Java currently returns me a UnsatisfiedLinkError when I do the actual call. What is wrong?","1,924",2009-11-10 21:51:32Z,Returning a C++ class to Java via JNI,"
                        22k times
                    ","
            17
        "
Accepted,2020-10-04 14:56:34Z,6,,user3000805,"python,c++",https://stackoverflow.com/questions/24492327/python-embedding-in-c-importerror-no-module-named-pyfunction,"Hi I'm trying to embed python (2.7) into C++ (g++ 4.8.2) and hence call a python function from C++. This is the basic code provided in python documentation for embedding: ,This is my file call_function.cpp,Now my python script is saved as pyfunction.py placed in the same folder as call_function.cpp.,This is pyfunction.py :,Now using the Terminal I'm calling :,(Compiles successfully without any errors)
(Running the program),(I get this ERROR):,I don't understand how this is possible. I've followed the documentation and still I'm getting the error. ,How can it not find pyfunction.py when it is placed in the same directory.",267,2014-06-30 14:21:59Z,Python Embedding in C++ : ImportError: No module named pyfunction,"
                        14k times
                    ","
            16
        "
Undetermined,2021-07-23 07:53:29Z,3,,Carriane Lastimoso,"php,python,exec,shell-exec,orb",https://stackoverflow.com/questions/41020068/running-python-script-in-laravel,"So, I am trying to run a python script in my Laravel 5.3.,This function is inside my Controller.  This simply passes data to my python script,My python script is an ORB algorithm where it returns the smallest distance and its id after comparing the train images to the query image.  So, this is my python script:,I already tried running both file without using Laravel and it is working well. But when I tried to integrate the php code to my Laravel, it displays nothing.  The Status code is 200 OK.,: ,to ,then, you can also do like this",203,2016-12-07 14:31:01Z,Running python script in Laravel,"
                        31k times
                    ","
            19
        "
Accepted,2012-07-10 13:20:09Z,3,,notsodev,"c#,c++,pinvoke,marshalling,dllimport",https://stackoverflow.com/questions/11123899/passing-a-c-sharp-class-object-in-and-out-of-a-c-dll-class,"I've been working on a prototype code application that runs in C# and uses classes and functions from older C++ code (in the form of an imported DLL). The code requirement is to pass in a class object to the unmanaged C++ DLL (from C#) and have it be stored/modified for retrieval later by the C# application. Here's the code I have so far...,Simple C++ DLL Class:,C++ DLL Functions:,C# Class and Wrapper:,C# Function Call to DLL:,Nothing but junk values appear to be available within the DLL (coming from the passed in C# object). I believe I am missing something with the class marshalling or a memory/pointer issue. What am I missing?,Edit:
I changed the above code to reflect changes to the method/function definitions, in C#/C++, suggested by Bond. The value (1234) being passed in is retrieved by the C# code correctly now. This has exposed another issue in the C++ DLL. The 1234 value is not available to the C++ code. Instead the object has a value of 0 inside the DLL. I would like to use predefined C++ functions to edit the object from within the DLL. Any more help is greatly appreciated. Thanks!","1,373",2012-06-20 16:23:40Z,Passing a C# class object in and out of a C++ DLL class,"
                        19k times
                    ","
            14
        "
Undetermined,2020-09-10 19:35:15Z,1,,Arnox,"python,c++,numpy,segmentation-fault",https://stackoverflow.com/questions/25530727/c-python-api-second-call-of-pyimport-import-results-in-sigsegv,"I am trying to call python from c++ via c Api to get the values of two numpy Arrays in c++.
The first time I invoke my program callPython() everything seems to run fine but the second call results in a SIGSEGV when,is executed.,In the answer from ,, there is a much simpler minimal example code than mine, with the same error.,I compile my program on Ubuntu 12.04 with the python and numpy packages, as well as with anaconda, with the follwing command:,The shortened gdb backtrace is,What could be wrong with my call to python?",131,2014-08-27 15:07:23Z,c++ python API : second call of PyImport_Import results in SIGSEGV,"
                        1k times
                    ","
            6
        "
Accepted,2019-07-02 06:40:33Z,6,,IssamLaradji,"c++,python,visual-studio-2010,wrapper",https://stackoverflow.com/questions/16200997/why-doesnt-include-python-h-work,"I'm trying to run Python modules in C++ using ,, however, after setting the ""Additional Include Dependencies"" of the project to ""\include"" I get the following error when debuging,,I read that I should download the development version of Python, but I didn't find a link for that, plus, don't I just need the file 'python27_d.lib' to be copied to the ""libs"" folder?,Please note that I'm using the Anaconda distribution of Python.,Thanks in advance!","5,829",2013-04-24 19:56:01Z,Why doesn't #include <Python.h> work?,"
                        23k times
                    ","
            15
        "
Accepted,2019-09-19 07:20:54Z,1,,Frank,"python,c++,pybind11",https://stackoverflow.com/questions/57990269/passing-pointer-to-c-from-python-using-pybind11,"I have created the following class using pybind11:,However I have no idea how I would call this constructor in Python.. I see that Python expects a float in the place of the double*, but I cannot seem to call it.,I have tried, , but this does not work...,Edit:,I have distilled the answer from @Sergei answer. ","2,129",2019-09-18 10:09:18Z,passing pointer to C++ from python using pybind11,"
                        3k times
                    ","
            9
        "
