_id,answers,author,combination,links,questions,reputation,time,views,votes
6964392,18,Hyperboreus,c python ,https://stackoverflow.com/questions/6964392/speed-comparison-with-project-euler-c-vs-python-vs-erlang-vs-haskell,Speed comparison with Project Euler: C vs Python vs Erlang vs Haskell,30.2k,8/6/2011 2:34,"145,308",706
1942298,12,balpha,c python ,https://stackoverflow.com/questions/1942298/wrapping-a-c-library-in-python-c-cython-or-ctypes,"Wrapping a C library in Python: C, Cython or ctypes?",46.2k,12/21/2009 20:05,"79,658",292
9191388,9,Jorge Leitao,c python ,https://stackoverflow.com/questions/9191388/it-is-more-efficient-to-use-if-return-return-or-if-else-return,It is more efficient to use if-return-return or if-else-return?,15.6k,2/8/2012 10:20,"273,059",183
138521,10,Andy Balaam,c python ,https://stackoverflow.com/questions/138521/is-it-feasible-to-compile-python-to-machine-code,Is it feasible to compile Python to machine code?,"5,643",9/26/2008 9:51,"95,181",138
4859129,6,Channel72,c python ,https://stackoverflow.com/questions/4859129/python-and-python-c-api-new-versus-init,Python (and Python C API): __new__ versus __init__,22.6k,2/1/2011 5:07,"32,665",135
3091316,2,Will,c python ,https://stackoverflow.com/questions/3091316/python-conditional-ternary-operator-for-assignments,Python ? (conditional/ternary) operator for assignments [duplicate],69.5k,6/22/2010 8:07,"79,547",128
8068019,1,mac,c python ,https://stackoverflow.com/questions/8068019/python-why-are-and-faster-than-and-sqrt,Python: why are * and ** faster than / and sqrt()?,39.4k,11/9/2011 16:20,"6,466",80
1907565,6,psihodelia,c python ,https://stackoverflow.com/questions/1907565/c-and-python-different-behaviour-of-the-modulo-operation,C and Python - different behaviour of the modulo (%) operation,26.8k,12/15/2009 13:46,"19,148",69
27324292,10,Glenn,c python ,https://stackoverflow.com/questions/27324292/convert-word2vec-bin-file-to-text,Convert word2vec bin file to text,"6,255",12/5/2014 20:39,"50,771",66
8282231,14,user979344,c python ,https://stackoverflow.com/questions/8282231/i-have-python-on-my-ubuntu-system-but-gcc-cant-find-python-h,"I have Python on my Ubuntu system, but gcc can't find Python.h",732,11/26/2011 22:49,"120,713",59
