id,questions,votes,answers,views,links,time,author,reputation
54018008,How to pass content in TinyMCE's textarea to a PHP file directly instead of sending via AJAX?,6,3,1107,https://stackoverflow.com/questions/54018008/how-to-pass-content-in-tinymces-textarea-to-a-php-file-directly-instead-of-send,1/3/2019 7:25,showkey,527
54049474,Does aligning memory on particular address boundaries in C/C++ still improve x86 performance?,6,2,1031,https://stackoverflow.com/questions/54049474/does-aligning-memory-on-particular-address-boundaries-in-c-c-still-improve-x86,1/5/2019 6:11,mezamorphic,13.5k
54127265,Preprocessor definition duplication,6,4,288,https://stackoverflow.com/questions/54127265/preprocessor-definition-duplication,1/10/2019 11:02,DMan,419
54130384,Google analytics integration for orders without online payment transaction in Woocommerce 3,6,3,476,https://stackoverflow.com/questions/54130384/google-analytics-integration-for-orders-without-online-payment-transaction-in-wo,1/10/2019 14:03,§¡§Ý§Ö§Ü§ã§Ñ§ß§Õ§â§Ñ §¬§å§Ù§ß§Ö§è§à§Ó§Ñ,439
54307232,Create an Hour Glass pattern on Java or Python using Simple Code?,6,4,1696,https://stackoverflow.com/questions/54307232/create-an-hour-glass-pattern-on-java-or-python-using-simple-code,1/22/2019 11:25,Adji,79
54463202,What causes this behavioural difference between C and JavaScript?,6,1,121,https://stackoverflow.com/questions/54463202/what-causes-this-behavioural-difference-between-c-and-javascript,1/31/2019 14:52,Siya,"4,005"
54524221,JavaScript breaks when there is a double quote in returned JSON [duplicate],6,0,96,https://stackoverflow.com/questions/54524221/javascript-breaks-when-there-is-a-double-quote-in-returned-json,2/4/2019 20:58,GrumpyCrouton,"7,828"
54545813,Using `kill` to trigger a parent's `waitpid`,6,1,180,https://stackoverflow.com/questions/54545813/using-kill-to-trigger-a-parents-waitpid,2/6/2019 2:26,payne,"2,553"
54638518,Slider button click in selenium python,6,1,1250,https://stackoverflow.com/questions/54638518/slider-button-click-in-selenium-python,2/11/2019 20:22,,
54691075,Crash Reporter with feedback system for C# application using native components,6,0,152,https://stackoverflow.com/questions/54691075/crash-reporter-with-feedback-system-for-c-sharp-application-using-native-compone,2/14/2019 13:02,ceedee,321
