,relevant,link,accepted,create time,active time,author,reputation,answer quantity,combination,title,question,answer,viewed,vote,question contain code,Solution type,Solved,answer or highest vote,Symptoms ,SDLC,Special case,Taxonomy_Second,Taxonomy_Third
3489,,https://stackoverflow.com/questions/58927296/adding-utf-8-support-to-js-php-script,Accepted,2019-11-19 05:36:52Z,2019-11-24 13:36:41Z,santa,"12,374",5,"javascript,php,mysql,ajax,utf-8",Adding UTF-8 support to JS/PHP script [duplicate],"I am working on a page that uses JavaScipt to send data to a PHP script via AJAX POST. The problem is, if the input is in a language that is not Latin based I end-up storing gibberish in the MySQL table. Latin alphabet works fine.,The page itself is capable to rendering UTF-8 characters, if they are in a data provided on page load, it's the post that I struggle with.,and save. See the Network POST request in browser's dev tools.,The post is made through the following JS function,Here's my PHP code.,When I check for encoding on the page like this:,I get result: ,I also tried the following header:,MySQL table collation where the data is supposed to go is set to ,I have another page that has a form where users populate the same table and it works perfectly fine with ANY language. When I check on the other page why it is capable of inserting similar data into db successfully I see the following above insert query:,I've attempted putting the same line above my query that the data still looks gibberish. I also tried the following couple alternatives:,and,...but to no avail. I'm stomped. Need help getting it figured out.,Environment:,I ran more tests.,I used a phrase ""this is a test"" in Arabic - ?????? ????????????,It seems that ajax.php code works properly. After db insert it returns UTF-8 encoded values, that look like:  ""\u0647\u0630\u0627 \u0627\u062e\u062a\u0628\u0627\u0631"" and the encoding is set to:""UTF-8"", however the inserted data in my db table appears as: ???€????????? ????????????????????????,So why am I not jumping to converting my db table to different collation? Couple of reasons: it has nearly .5 mil records and it actually works properly when I go to another page that does very similar INSERT.,Turns out my other page is using ASCII encoding when inserting the data. So it's only natural I try to conver to ASCII on ajax.php. The problem I end-up with blank data. I am so confused now...,Thanks, based on a few clues I ended-up rewriting all functions for this page to PDO and it worked!"," is Mojibake, or possibly ""double encoding"", for ??????????????  -- Please do , to see which of these looks like:,Mojibake: ,
double encoding: ,If Mojibake:,If double-encoding:  This is caused by converting from latin1 (or whatever) to utf8, then treating those bytes as if they were latin1 and repeating the conversion.,More discussion:,Do , use the , interface in PHP; switch to , or PDO interfaces.  , was removed in PHP 5.7.",1k,11.0,,,,,,,,,
3128,,https://stackoverflow.com/questions/27320573/how-to-get-the-full-stacktrace-when-using-superdevmode-in-gwt-2-7,Undetermined,2014-12-05 16:36:07Z,2018-09-05 14:26:17Z,confile,"29,503",2,"java,javascript,html,gwt,stack-trace",How to get the full StackTrace when using SuperDevMode in GWT 2.7?,"I use GWT 2.7 with super dev mode. When it comes to an exception the stack trace looks like the following:,I have a GWT project running in a GWT-PhoneGap environment on my iPhone and I use the Safari Console for Debugging.,Edit: I also use the following flag: ,It does not work.","As of GWT 2.7.0, this isn't possible. You might want to follow ,.,The , only applies to the browser's dev tools. So if you set this parameter and set a breakpoint in the source code, the method names of the call stack will be displayed correctly in dev tools. This doesn't affect the call stack produced by log output (which is what you posted in your question).",1k,10.0,,,,,,,,,
3250,,https://stackoverflow.com/questions/8875185/casting-into-a-python-string-from-a-char-returned-by-a-dll,Undetermined,2012-01-16 02:26:06Z,2012-01-16 07:56:43Z,Peter Li,,2,"python,c,string,ctypes",casting into a Python string from a char[] returned by a DLL,"I am attempting to cast a C style const char[] string pointer (returned from a DLL) into a Python compatible string type. but when Python27 executes: ,we get: ,perhaps something is not to be evaluating properly.
My questions are:","ctypes.cast() is used to convert one ctype instance to another ctype datatype.
You don't need it To convert it to python string.
Just use "".value"" to get it in python string.,More info ",24k,11.0,,,,,,,,,
279,,https://stackoverflow.com/questions/16520052/how-to-generate-64-bit-dll-which-gcc-compiler-or-other-cant-load-ia-32-bit-d,Undetermined,2013-05-13 10:38:17Z,2016-06-08 19:19:45Z,Przemek Grabowski,,3,"java,c++,gcc,java-native-interface,64-bit",How to generate 64 bit .dll which gcc compiler or other. Can't load IA 32-bit .dll on a AMD 64-bit platform,"Hi I didn't find solution how to create 64 bit dll. And use it's native c++ methods. I use Java code metodynatywne.java  :,then generated metodynatywne.h using 
javah -jni metodynatywne,I wrote metodynatywne.cpp code :,I ussed gcc to create my dll with comands :,and,and what what I'm getting is error message: ,I used Java 1.4 32 bit javac compiler and java7 x64 compiler both metods gave me the same error. How can I deal with that? Use another c++ compiler if yes how force this compiler to create usable by my java dll file. I working on Windows 7 64 bit. ,How I can make from cpp file a 64 bit dll (with gcc) ? Or other comand line compiler ?,Thanks a lot for any comments and help provided.",You should recompile the DLL for 64-bit (you must download 64-bit build tools). Also you can switch to 32-bit JVM (just download 32-bit JVM).,3k,6.0,,,,,,,,,
5388,no,https://stackoverflow.com/questions/52390562/google-recaptcha-response-uncaught-in-promise-null,Accepted,2018-09-18 16:02:47Z,2021-07-11 19:23:13Z,FABBRj,,11,"javascript,php,html,ajax,recaptcha",Google reCaptcha response ?€?Uncaught (in promise) null?€?,"I'm use reCaptcha v2 but in dev console response , in in any case (and moving the , function) ,console:,my code for recaptcha:,my callback function:,and my ,:,Searching on the internet, probably the problem is the , function, but I do not understand the solution.","I had this error too and I found is related with the recaptcha callback (in your case ,). If you remove your data-callback attribute the error won't come up.,The console error , indicates the callback is waiting for a promise. Here's a basic callback function for recaptcha using promises:,In your case you need to adjust your code to something like this:,This is my first answer in SO, so please be patient and let me know if I forgot or missed something :)",61k,72.0,,,,,,,,,
936,,https://stackoverflow.com/questions/44954565/wordpress-vue-js-contact-forms,Undetermined,2017-07-06 16:35:33Z,2019-05-17 23:06:24Z,mmarquez,,1,"javascript,php,wordpress,vue.js",Wordpress + Vue.js : Contact Forms,"I'm working on a WP theme using Vue.js, all data is being fetched through REST API. so far everything works perfectly in terms of displaying the data. ,I'm trying to implement a contact form plugin (Contact Form 7 -- but open to suggestions). This plugin works by adding a shortcode to the PHP, but since I'm not using PHP, rather rendering all the front end in the client side -- I'm confused on how to achieve an integration between these two., ,I could include the shortcode in my index.php file, with it's visiblity hidden and interact with it through javascript once the user gets to the Contact Page. I'm not very certain about this way as the form really doesn't need to load on entry, just on the Contact Page.,Build a form in the front end, gather the user data and send it to a function in the server side (functions.php). This data then is used by the server to perform the desired submission. Does this makes sense / is it even possible?,I'm just looking for some direction. I'm pretty comfortable working with Wordpress and Vue separately, but I still got my question when it comes to interaction between client side and server side, in this context.,Any suggestions that can help me move forward? I prefer to use Contact Form 7 Plugin as many of my sites use that, but I'm also open to other solutions, ideally managed within Wordpress and not a third party service. Any comments or suggestions are appreciated! ,Thanks!","This one could be a solution, probably not the most elegant.,For reference, , is the method I used to call the REST API, then, the response is stored in ,, like this:,In your template file: ,You can notice a jQuery line under the , method that will basically cut the form from PHP and paste it in the template file. ,. The form will be called with , in PHP:,I tested the previous solution and found some issues. So here a new approach., create a new Custom Post Type to print the shortcodes, then , the generated URL into the Vue component.,For reference: loading the Vue generated JS and CSS files from , should be the right process. It is going to be useful in next steps.,So I created a Custom Post Type called shortcodes, like this:,Then I created a new , post, and in the content, I wrote the shortcode that Contact Form 7 gives me. I also created ,, like this:,Finally, the template file remains the same but with a different JS content:,After that, an error should appear in the console, because , is loading the JS and CSS files from Vue, so in , I made a little fix:,My entire piece of code to register CSS and JS files looks like this:,Again: to me, it does not sound like an elegant solution, but unfortunately, when mixing Vue with WordPress, you will lose some of the WordPress core features.,Hope it helps to someone.",2k,6.0,,,,,,,,,
179,,https://stackoverflow.com/questions/37474832/how-to-train-a-model-in-c-with-tensorflow,Accepted,2016-05-27 04:25:05Z,2016-05-28 11:28:25Z,darren1231,,1,"python,c++,tensorflow",How to train a model in C++ with tensorflow?,"I tried to trained a experiment with deep learning model.
I found that tensorflow is the best way to do this.
But there is problem that tensorflow need to be writen in python.
And my program contain many loops.Like this..,I know this is a big drawback for python.
It's very slow than c.
I know tensorfow has a C++ API, but it's not clear.
,
(This is the worst Specification I have ever looked)
Can someone give me an easy example in that?
All I need is two simple code.
One is how to create a graph.
The other is how to load this graph and run it.
I really eager need this.Hope someone can help me out.","It's not so easy, but it is possible.
First, you need to create tensorflow graph in python and save it in file.
This article may help you,
,Second, you need to compile libtensorflow, link it to your program (you need tensorflow headers as well, so it's a bit tricky) and load the graph from the file.
This article may help you this time,
",3k,6.0,,,,,,,,,
2169,,https://stackoverflow.com/questions/10801258/read-argument-with-spaces-in-python-script-from-a-shell-script,Accepted,2012-05-29 14:33:27Z,2012-06-29 16:26:18Z,Adam Morris,,2,"python,shell",Read argument with spaces in python script from a shell script,"How do I read an argument with spaces when running a python script?,:,Looks like my problem is that I'm calling the python script through a shell script:,This works:,But, not when I run it through a script:,myscript.sh:,Prints: ,But what I want is:
","Use , instead:,Output:,with , defined as:",12k,8.0,,,,,,,,,
1418,,https://stackoverflow.com/questions/41323746/use-python-regex-to-parse-string-of-floats-output-by-java-arrays-deeptostring,Accepted,2016-12-25 18:57:35Z,2016-12-25 19:06:38Z,NickleDave,,2,"java,python,arrays,regex,string",Use Python regex to parse string of floats output by Java Arrays.deepToString,"I'm working with someone's Java code where a key data structure is a , array, ,. I need to get it into Python; currently my approach is to save the array to a text file using Arrays.deepToString and then parse that text file from Python.,I am stuck on how to write a regular expression that will parse the txt.
What I , do is find all the floats with their associated exponents in scientific notation.
I use the following pattern to do so:,This works fine to capture floats in scientific notation as they are output by deepToString. Note the values are all positive because they are probabilities. I.e., I don't have any issues with how I'm capturing the numbers themselves.,What I , do but what I would like to do is have regex search for any number of floats enclosed in left and right brackets. I tried this:,where I'm trying to find one or more case of the float format followed by a comma and a space enclosed by square brackets. But that returns ,. Not sure what I'm not understanding.,Here's an example 2x1x1 array:,What I would want is for the regex to return two matches:,and,that I can then just parse as strings with strip and split.,I've figured out a workaround where I just find all the bracket indexes. But I'd like to know what I'm not understanding about regexs. ","The data that you have is both valid python and valid json:,You'll be better off parsing with those libraries than trying to do so with regex.",104,7.0,,,,,,,,,
1700,,https://stackoverflow.com/questions/1698801/passing-php-array-into-javascript-through-json-to-update-google-chart,Accepted,2009-11-09 02:25:30Z,2013-09-12 14:08:44Z,brussels0828,,3,"php,javascript,json",Passing PHP array into Javascript through JSON to update Google Chart,"I have three PHP arrays that I've encoded with json... extra PHP code has been omitted because the arrays work properly.... Additionally, the HTML  tags that call the google chart have been omitted for sake of brevity... ,I would like to access these three arrays in Javascript to update my Google Chart dynamically.  ","You probably want them to become Javascript variables. When your php executes, it creates code your web browser then interprets. So you want to define javascript strings using php. For example:,Then those variables are accessible to subsequent javascript.",8k,7.0,,,,,,,,,
1570,,https://stackoverflow.com/questions/13637284/useless-expectation-from-compiler-when-dealing-with-generics,Accepted,2012-11-30 00:35:17Z,2012-11-30 02:33:53Z,Mik378,"21,029",2,"c#,java,generics,compiler-construction,casting",Useless expectation from compiler when dealing with generics?,"A compiler that must translate a generic type or method (in any language, not just Java) has in principle two choices: ,Java uses , method. I believe C# follows the , method, so all the code below is logical according to me using C#.,Assuming this Java code snippet:,Code sharing method will lead to this code ,:,So my question is:,What is the need to precise this initial cast? :,instead of doing simply (before type erasure, at coding time):,Is this cast really necessary for the compiler?,Ok, , returns , and are not directly referenceable by a more specific type without explicit downcast. ,But can't the compiler make an effort in this case since it deals with a generic type (the return type!)?,Indeed, ,? :,Thanks to @ruakh for his answer.,Here a sample that proves that explicit cast even just present at compile-time is relevant:,Casting to , is the only way to put some warning to user signaling the cast may not relevant. And indeed, here we end up with a downcast of , to ,, which leads to a , at runtime.,So, to the point saying ""isn't it enough that compilers apply an explicit cast to the method's caller line"", the answer is: , ,To put it a nutshell, this cast is worth to be present.","There are two problems with your line of reasoning.,One problem is that explicit casts are both a compile-time feature (part of the static type system) and a run-time feature (part of the dynamic type system). At compile-time, they convert an expression of one static type to an expression of another static type. At run-time, they ensure type-safety, by enforcing the requirement that the dynamic type is actually a subtype of that static type. In your example, of course, the run-time feature is skipped, because erasure means that there's not enough information to enforce the cast at run-time. But the compile-time feature is still relevant.,Consider this method:,Do you think that the following should be valid:,on the grounds that , will immediately cast its argument to , anyway, so there's no need to require that callers cast it to ,?,The other problem with your line of reasoning is that, although erasure and unchecked casts do sacrifice a bit of type-safety, the compiler compensates for this sacrifice by issuing warnings. If you write a Java program that does not give any unchecked (or raw-type) warnings, then you can be sure that it won't throw any ,s due to implicit, run-time-only, compiler-generated downcasts. (I mean, unless you're suppressing such warnings, of course.) In your example, you have a method that , to be generic, and that , that its return-type is the same as its parameter-type. By providing an explicit cast to ,, you're giving the compiler the opportunity to issue a warning and tell you that it cannot enforce that claim at that location. Without such a cast, there would be no place to warn about the potential resultant , in the calling method.",247,7.0,,,,,,,,,
33,,https://stackoverflow.com/questions/24771491/how-to-install-imusim,Accepted,2014-07-16 02:55:29Z,2014-07-16 13:30:52Z,rleelr,,1,"python,c,simulation,cython,quaternions",How to install IMUsim,"This a guide rather than a question, because I spent a LOT of time fighting with compilation errors when installing IMUsim, and I know that many other researchers have struggled.  The IMUsim code is currently unmaintained and the installation documentation is lacking.  If you simply clone the current IMUsim repo and follow the instructions to build from source, it will fail citing missing files.,See my answer below for the solution.","First, download the repo:,Some missing C files need to be generated manually with Cython:
(If you don't do this you will get errors like ""clang: error: no such file or directory: 'imusim/maths/quaternions.c'""),You'll need the right compiler.  GCC 4.8 works, you can install it on a Mac like so:,If you are not on a Mac then you will have to obtain GCC some other way.  It shouldn't be hard to find.  Other compilers may also work.,Now set the compiler to be GCC:
(If you don't do this, the version of GCC installed by Xcode will fail with ""imusim/maths/quat_splines.c:1340:8: error: 'inline' can only appear on functions""),Now you can build IMUsim!  (Make sure to run this command in the same terminal as the export).",2k,6.0,,,,,,,,,
2601,,https://stackoverflow.com/questions/7276389/confused-over-dll-entry-points-entry-point-not-found-exception,Accepted,2011-09-01 20:52:30Z,2014-05-27 10:02:59Z,GregD,,3,"c#,c++,visual-studio-2010,dll",Confused over DLL entry points (entry point not found exception),"I'm trying to learn how to use DLL's in C#.  I have a very simple DLL just to test the basics.,And the DLL code:,dumpbin returns the following:,This (and other attempts listed below) have all returned the same exception:,So I am at a loss for how to solve this.  Perhaps I do not understand how DllMain functions as the C# entry point for a DLL.  TestDLL.dll works when I test it in a C++ application.,After searching for help, I've attempted the following changes:,Which results in this from dumpbin,Thus, I changed my C# code:,I've also tried ,:,.,Perhaps I'm misunderstanding the calling conventions.  Any help would be very appreciated.  Thank you.","use,and, will prevent name mangling with params and return type such as ,.
__stdcall will prepend an , and add , : , (where 8 is the total size of arguments). Note that it also affects the way parameters are pushed on the stack.,In your , statement, since you specify ,, you don't need to specify the name mangling. Just give the regular name (,) and .NET will take care of name mangling (,).,Note that you , specify the CallingConvention or .NET wouldn't emit the correct code to push arguments on the stack",34k,9.0,,,,,,,,,
4411,,https://stackoverflow.com/questions/43633044/generate-android-apk-using-shell-script-from-php,Accepted,2017-04-26 11:34:46Z,2017-05-09 08:42:02Z,Keerthivasan,,2,"php,android,linux,bash,shell",Generate android apk using shell script from php?,"I'm trying to generate Android , files from shell script, I want to execute a shell script file from PHP. When I run the shell script in the terminal, it works perfectly. If I try to run the script using PHP, the shell script doesn't execute all the commands. The , command in shell script works perfectly, but when executing using PHP, other commands doesn't work. I'm using xampp server in a Linux environment. ,My shell script,Shell script , output,My PHP script,PHP script , output,Note: , outputs file names in the folder,I set all the file permissions for shell script in the xampp server. Can anyone describe where I'm mistaken? Awaiting responses...","Just use the full path to the script/executable, because the environment is different when running from php.",2k,17.0,,,,,,,,,
4749,,https://stackoverflow.com/questions/1143154/how-to-deploy-your-php-applications-correctly,Undetermined,2009-07-17 13:08:12Z,2015-10-08 06:16:55Z,ocptime,,4,"php,svn,shell,scripting,phing",How To Deploy Your PHP Applications Correctly?,"How to correctly deploy applications from development to production and how to deal with multiple site configurations.
All my development are done thru svn located at var/svn/myapp/trunk and
the actual production code is in /var/www/myapp.,I check out the latest code to my local machine into a directory called ""myapp_latest_svn"".
I have site and location specific code in my main settings.php, which has H_PATH = ','
& db config settings for db_host, db_user_name and db_password which is as you know different in
local machine settings ( where localhost/myapp.com is just an Apache alias) & on the production ( live site runs on myapp.com) server.,Also the .htaccess file is different from that on the production server. In short, there are a number of differences between dev and production.,I keep all my work in SVN. Every morning i use SVN Update which updates the latest code to my local svn repository.
When I am ready to go live, I build a release with svn Commit.,Then in the release I have to remember to change all the appropriate dev files to their production counterpart.
Now I had to manually edit the production settings.php & .htaccess to reflect the site specific changes.,I am looking for an automated way to go from dev to production complete with versioning and
no manually editing of files which is error prone and bad practice.,One way is making the production version of files read only (0444). That way when I do a svn export,
they are not overwritten by the dev version of the files and I don't have to worry about editing files on
each move from dev to production. But that's bad way of doing things like continuous integration.,Also by making multiple copies of the settings.php (one for localhost, beta, and prod). Then using  a shell script
that exports from svn, and then once the export is done, it replaces the settings.php with the correct settings.php,
depending on the location that we are deploying to. That way everything is automated.
But this is also a lame way to go.,Last way is,This is fine as far as settings.php is concerned.
But what abt the .htaccess, u cannot check like the above in .htaccess.,What I don't want end up doing every time I deploy my site that I have to change settings.,My DB schema is not in version control so db is not an issue with me, only the settings.php and .htaccess.,Also how can i tell svn not to update some directories since that is also site specific (/log, /cache, /assets, /downloads).
Also i need to preserve the apache ( www_data)  write access intact for the above files as well.,Lastly i don't want to copy the empty trunk directory and the .svn files to the production server when i export.,How can i use Phing or even a shell script to integrate without causing any of these issues when building from svn to production servers.,This could be useful for many wannabe app developers out there in the wild.,Thanks in advance,,ocptime","I'd recommend you look at , for your deployment woes. I used it to deploy PHP systems, and it will do everything you describe (with a little script work in your deploy recipe).,I don't keep any config files in my remote repo - when I checkout in dev, I can add them once, then ignore them so I don't check them im by accident. When it comes to deploying, my cap deploy recipe is set up so that it will write the settings files into the deployed version. This way, I never have to worry about deploying and missing anything critical.,Cap also takes care of any uploaded assets (symlinking the directories so they remain in place on each deploy), and it also automatically backs up all asset files and the database on deploy to Amazon S3. Pretty nifty, eh?",9k,22.0,,,,,,,,,
2415,,https://stackoverflow.com/questions/21227506/how-to-call-a-javascript-function-before-and-after-button-click-event-call-in-as,Undetermined,2014-01-20 06:25:48Z,2016-03-14 18:04:14Z,sohaib,,6,"c#,javascript,jquery,asp.net",How to call a javascript function before and after button click event call in asp.net,"i have created ""ButtonClick"" function in ASP.NET as following:,i want to know, is it possible to call a javascript function before and after calling asp.net button click function...???,Thanks.","Yes it's possible, here is quick example:
Java script function to call.,Here is snapshoot for button,Notice property onClientClick=""clientValidate()"", it will be trigger script before button click on the server.,On the server side:,Notice executeAfter();, it will trigger javascript execution after server event. ,Don't forget to place , in your aspx file.,Hope it help",85k,8.0,,,,,,,,,
4010,,https://stackoverflow.com/questions/9506437/python-subprocess-call-returns-command-not-found-terminal-executes-correctly,Accepted,2012-02-29 20:53:06Z,2012-02-29 22:32:15Z,Aduen,,1,"python,shell,terminal,subprocess","Python subprocess call returns ?€?command not found?€?, Terminal executes correctly","I am trying to run gphoto2 from python but, with no succes. It just returns command not found.
gphoto is installed correctly, as in, the commands work fine in Terminal.,I know that there is something funny about the osx Terminal (app) but, my knowledge on osx is meager.,Any thoughts on this one?,EDIT,changed some of my code, other errors appear,EDIT,using full path '/opt/local/bin/gphoto2',but if someone care to explain which shell to use or how to log in and be able to have the same functionality..?","When using ,, the first argument to , should be a string, not a list:,However, using , should be avoided if possible since it can be a , (see the Warning).,So instead use ,(When ,, or if the , parameter is omitted, the first argument should be a list.)",24k,15.0,,,,,,,,,
37,,https://stackoverflow.com/questions/16908820/what-is-the-init-function-of-a-dynamic-module-in-python,Accepted,2013-06-04 02:18:05Z,2013-06-04 02:32:54Z,Lucas Radaelli,,1,"python,c,dll,ctype",What is the init function of a dynamic module in python?,"I am getting the same error of these other two questions:
,
 and 
,But their solutions are not equal, and didn't work for me as well.,I am trying  to call functions of a shared library that I have wrote in c,  inside my python program.,I compiled my  shared lib like this:,I created a module, and inside this module I  load this lib with:,But when I run the code, I get the following error:,Which is very strange, because if I run  the python interpreteer, and call directly:,I can access the functions of my shared lib.,Any ideas how to solve this?
Thank you.","Delete the line ,in , and it should work.,Alternatively, rename , to something else or moved it to a different directory.
Python gets confused if you have two files with the same module name, i.e.
, and , in the same directory. Python tries to import ,, which is no valid Python module, before it gets to ,.",3k,6.0,,,,,,,,,
4528,no,https://stackoverflow.com/questions/977404/c-slow-python-fast-in-terms-of-development-time,Undetermined,2009-06-10 18:33:13Z,2019-03-11 10:50:16Z,,,13,"c++,python","C++ slow, python fast? (in terms of development time) [closed]","I'm thinking of trying to make some simple 2d games, but I've yet to choose a language. A lot of people recommend either C++ with SDL or python with pygame. I keep hearing that developement on C++ is fairly slow, and developement time with Python is fairly fast.,Anyways, could anyone elaborate on this? What exactly makes development in C++ so time consuming? The programs I've made have been Project Euler-style in that they're very short and math-based, so I have no experience in larger projects.","There are two things that are relevant between C++ and Python that will affect your time-to-develop any project including a game.  There are the languages themselves and the libraries.  I've played with the SDL to some extent and peeked at PyGame and for your specific instance I don't think the libraries are going to be much of a factor.  So I'll focus on the languages themselves.,Python is a dynamically-typed, garbage-collected language.  C++ is a statically-typed, non-garbage-collected language.  What this means is that in C++ a lot of your development time will be spent managing memory and dealing with your type structure.  This affords you a lot of power, but the question is do you really need it?,If you're looking to write a simple game with some basic graphics and some good gameplay, then I don't think you truly need all the power that C++ will give you.  If you're looking to write something that will push the envelope, be the next A-list game, be the next MMO, fit on a console or a handheld device, then you will likely need the power that C++ affords.",6k,19.0,,,,,,,,,
3861,no,https://stackoverflow.com/questions/6056977/is-it-possible-to-automatically-convert-java-code-to-php,Undetermined,2011-05-19 10:06:02Z,2015-09-13 01:33:30Z,yura,"14,199",5,"java,php,converter",Is it possible to automatically convert java code to PHP?,Is there are tools for converting java code to php? I have source code of java library and I need it to convert to php.,"It is possible to automatically convert it. This is called a source to source compiler. Normally when you compile software, the parser will build an abstract syntax tree and convert this into the target machine language code. But it is just as possible to have a compiler convert this into another high level (compilable) language.,Java is a strongly typed language, and PHP is not, so source to source compilers are rare and the code conversion process is incomplete. However this said, there is a reasonably good one with a free demo at: ",33k,13.0,,,,,,,,,
