,0
0,6669
1,1
2,49017
3,15
4,67920
5,127
6,10
7,39438
8,11107
9,224034
10,520
11,15
12,201
13,1
14,1
15,12456
16,11
17,130
18,19880
19,2
20,10
21,9
22,4955
23,12
24,8
25,8
26,340
27,95
28,886039
29,15261
30,12494
31,68
32,355
33,663
34,35
35,114486
36,869
37,19746
38,55
39,137167
40,2
41,45
42,49017
43,501
44,1333
45,474
46,27978
47,4
48,109415
49,44
50,140835
51,181
52,7236
53,13345
54,36
55,14913
56,1
57,25419
58,35965
59,369
60,947
61,32
62,55
63,117
64,716
65,1522
66,120
67,64
68,129
69,28
70,241
71,90
72,102581
73,3
74,643
75,326
76,11
77,52094
78,1
79,604
80,128081
81,339
82,223
83,813
84,689
85,2
86,4
87,99
88,97327
89,3527
90,791
91,1211
92,31
93,3674
94,25419
95,6196
96,30544
97,686
98,121298
99,400
100,9
101,30
102,886039
103,5339
104,60113
105,4645
106,18796
107,3234
108,23170
109,686
110,109463
111,46479
112,3762
113,55
114,150
115,765
116,7498
117,109
118,791
119,1052
120,841
121,5272
122,25
123,38889
124,12
125,361
126,921
127,1112
128,42
129,8536
130,507123
131,1349
132,1584
133,8330
134,4
135,30670
136,161
137,73
138,54
139,1
140,5824
141,153072
142,7984
143,1858
144,8062
145,110
146,1
147,27
148,829
149,2
150,129
151,198
152,919
153,10662
154,34
155,2
156,1
157,1
158,730
159,191
160,886
161,88847
162,198
163,194
164,3043
165,632
166,61
167,257
168,853
169,492
170,9299
171,89
172,5214
173,929
174,451
175,1502
176,59134
177,4233
178,51
179,3416
180,893
181,268
182,40039
183,70
184,401
185,116
186,1
187,1
188,1
189,4923
190,619
191,338
192,4625
193,4029
194,811
195,92
196,744563
197,57
198,965
199,519
200,969
201,2792
202,1305
203,205887
204,3496
205,496
206,530
207,204
208,1017
209,3
210,15304
211,10012
212,16
213,24113
214,226610
215,449
216,8067
217,63630
218,139
219,190685
220,1
221,14
222,2650
223,4600
224,773
225,27
226,58
227,12948
228,3183
229,411
230,83598
231,1
232,57
233,149
234,1615
235,2
236,1
237,135194
238,823
239,1382
240,555
241,871
242,6
243,849
244,12925
245,8291
246,409
247,391
248,12164
249,4006
250,350
251,7
252,1
253,482
254,108371
255,1127
256,921
257,5838
258,5687
259,8
260,196768
261,10437
262,874
263,1658
264,3819
265,1
266,48565
267,1
268,21633
269,6
270,2
271,68
272,382
273,36428
274,041
275,2035
276,20182
277,83598
278,368217
279,19
280,5049
281,137
282,2316
283,1349
284,17
285,2
286,5
287,25419
288,773
289,2
290,1106
291,168
292,20638
293,689
294,74840
295,30461
296,57
297,12548
298,66744
299,27438
300,794564
301,2892
302,66
303,2163
304,1
305,25419
306,83598
307,529
308,10418
309,80
310,155006
311,48
312,12448
313,26
314,8
315,711
316,49017
317,22
318,579
319,335
320,6
321,260
322,4834
323,25256
324,37
325,579483
326,4
327,1627
328,5
329,92
330,26
331,405
332,10415
333,0
334,358
335,242
336,17833
337,328
338,1864
339,17
340,254618
341,25763
342,319
343,240
344,292079
345,1
346,4229
347,39520
348,14
349,480
350,746
351,2
352,14
353,42
354,186
355,61
356,10113
357,8568
358,2189
359,4
360,43518
361,985
362,4
363,660
364,5051
365,100
366,7
367,2
368,36788
369,743
370,1552
371,079
372,694
373,604
374,14
375,85254
376,59
377,9
378,508
379,110
380,168
381,161
382,2
383,55753
384,40089
385,12
386,0
387,074
388,339
389,431
390,555662
391,19
392,427959
393,7
394,60358
395,344
396,6
397,63126
398,30051
399,5
400,84040
401,488
402,3
403,14271
404,64420
405,28707
406,14990
407,3045
408,44
409,171
410,7028
411,1
412,12893
413,390
414,2200
415,63881
416,364
417,821
418,141116
