,0
0,19
1,122
2,603
3,1481
4,6560
5,475
6,729
7,3161
8,781
9,21
10,577
11,641
12,062
13,080
14,618
15,506
16,850
17,000
18,341
19,083
20,711
21,344
22,100
23,000
24,000
25,000
26,000
27,000
28,000
29,794
30,4706
31,3646
32,1970
33,73
34,23063
35,867
36,1318
37,911
38,069
39,565
40,955
41,169
42,137
43,757
44,71
45,21
46,728
47,200
48,380
49,448
50,000
51,000
52,000
53,000
54,086
55,506
56,268
57,441
58,079
59,053
60,041
61,000
62,000
63,1
64,673
65,450
66,13
67,546
68,264
69,805
70,211
71,819
72,146
73,413
74,573
75,104
76,450
77,000
78,000
79,568
80,912
81,689
82,433
83,314
84,11
85,438
86,117
87,734
88,1
89,371
90,699
91,964
92,9364
93,21
94,66430
95,537
96,2377
97,612
98,713
99,893
100,091
101,007
102,819
103,837
104,100
105,000
106,000
107,000
108,625
109,553
110,312
111,53920
112,1954
113,25112
114,83
115,043
116,148
117,065
118,860
119,391
120,532
121,698
122,170
123,399
124,159
125,579
126,835
127,917
128,366
129,453
130,000
131,000
132,000
133,000
134,517
135,013
136,862
137,495
138,21
139,679
140,916
141,975
142,787530
143,1
144,988
145,603
146,960
147,100
148,000
149,000
150,815
151,972
152,856
153,305
154,000
155,000
156,131
157,985
158,534
159,551
160,700
161,000
162,14
163,197
164,077
165,704
166,800
167,7521
168,81
169,11
170,907
171,688
172,731
173,146
174,300
175,000
176,59134
177,151
178,21
179,102777
180,331562
181,131182
182,29811
183,713
184,19
185,38070
186,044
187,123
188,383
189,233
190,240
191,000
192,071
193,720
194,144
195,226
196,098
197,696
198,71
199,1533
200,59
201,7905
202,30124
203,4333
204,67
205,80039
206,0
207,88
208,3504
209,5729
210,292079
211,71946
212,267
213,705
214,1
215,122
216,366
217,453
218,110
219,330
220,000
221,007
222,397
223,752
224,525
225,200
226,000
227,162
228,103
229,714
230,734
231,000
232,000
233,000
234,000
235,000
236,25982
237,76308
238,24674
239,13044
240,3036
241,9858
242,38782
243,7176
244,19439
245,40290
246,11
247,84
248,701
249,986
250,420
251,362
252,115
253,215
254,000
255,000
256,000
257,000
258,000
259,000
260,000
261,000
262,000
263,000
264,13539
265,18291
266,1244
267,110391
268,924
269,11
270,2753
271,2015
272,216
273,282
274,263
275,012
276,884
277,007
278,297
279,364
280,955
281,249
282,990
283,000
284,94
285,7948
286,339
287,777
288,33
289,243
290,1
291,2517
292,13033
293,1121
294,79
295,7896
296,876
297,335
298,586
299,110
300,632
301,000
302,4
303,963
304,494
305,637
306,723
307,744
308,563
309,215
310,200
311,953
312,227
313,031
314,849
315,16
316,798
317,147
318,794
319,700
320,000
321,000
322,000
323,000
324,000
325,000
326,000
327,000
328,000
329,000
330,000
331,000
332,59
333,874
334,548
335,3928
336,89
337,425
338,214668
339,1610
340,1
341,1364
342,003
343,680
344,361
345,166
346,736
347,476
348,141
349,846
350,000
351,000
352,000
353,000
354,000
355,000
356,000
357,000
358,000
359,000
360,000
361,000
362,569
363,140
364,835
365,59217
366,110779
367,22703
368,1896
369,4132
370,11
371,21
372,408
373,811
374,5609
375,3582
376,11
377,628
378,10900
379,6928
380,1049
381,31
382,2023
383,744
384,912
385,158
386,11472
387,481
388,151
389,41
390,684
391,270
392,260
393,558
394,716
395,488
396,402
397,114
398,021
399,172
400,400
401,000
402,000
403,0
404,79
405,095
406,635
407,146
408,999
409,700
410,000
411,827
412,974
413,936
414,114
415,000
416,000
417,1
418,140835
419,293
420,835
421,114
422,520
423,10864
424,7990
425,36
426,73
427,664
428,536
429,154
430,900
431,000
432,000
433,000
434,436
435,033
436,424
437,716
438,000
439,620
440,212
441,604
442,95
443,351
444,068
445,871
446,344
447,231
448,176
449,826
450,782
451,000
452,094
453,362
454,495
455,956
456,211
457,892
458,341
459,300
460,000
461,000
462,49
463,716
464,481
465,098
466,1028
467,361
468,713
469,519
470,7545
471,66
472,1481
473,751
474,51
475,21
476,24391
477,11
478,489
479,39679
480,1
481,59
482,244
483,126
484,176
485,14
486,699
487,712
488,629
489,719
490,815
491,112
492,090
493,971
494,776
495,141
496,2284
497,362115
498,845
499,43
500,11
501,35
502,471
503,643
504,510
505,392
506,146
507,867
508,5019
509,4
510,664
511,038
512,383
513,14
514,810
515,166
516,624
517,312
518,633
519,855
520,977
521,052
522,000
523,91270
524,20077
525,12993
526,3211
527,3211
528,32516
529,20486
530,2443
531,214993
532,89
533,799
534,159
535,440
536,495
537,000
538,214
539,256
540,841
541,140
