accepted_time,answers_time,comments_time,link,posts_id
2008-09-08 05:37:56Z,"2008-09-08 05:37:56Z,2008-09-08 04:58:26Z",2008-09-08 05:17:40Z,https://stackoverflow.com/questions/49156/importing-javascript-in-jsp-tags,"491,564,920,549,185"
2008-09-18 16:43:57Z,"2009-04-16 04:45:22Z,2009-04-17 13:04:14Z,2008-09-18 16:43:57Z,2011-05-06 21:25:54Z,2015-07-15 14:19:47Z,2008-09-18 16:09:13Z","2012-08-13 21:58:52Z,2008-09-18 17:05:08Z",https://stackoverflow.com/questions/93911/how-can-you-run-javascript-using-rhino-for-java-in-a-sandbox,"939,117,547,927,603,000,000,000,000,000,000,000,000,000"
2008-09-24 12:24:41Z,"2008-09-24 12:24:41Z,2008-09-24 15:37:33Z,2016-09-21 10:47:51Z,2008-09-24 12:25:03Z,2008-09-24 12:34:54Z,2018-06-29 08:49:51Z","2010-10-19 18:30:12Z,2008-09-24 12:40:46Z,2009-07-24 18:53:52Z,2012-11-12 05:47:41Z,2017-10-24 03:10:50Z,2020-04-09 21:42:33Z,2012-11-12 05:48:12Z,2019-06-27 12:00:25Z,2008-09-24 15:41:14Z,2018-08-01 14:56:11Z,2008-09-24 20:51:39Z,2012-11-12 05:53:09Z,2018-09-12 16:17:51Z",https://stackoverflow.com/questions/126781/c-union-in-c-sharp,"1,267,811,268,071,270,000,000,000,000,000,000,000,000,000,000"
2008-10-06 12:35:42Z,"2008-10-06 12:35:42Z,2008-09-29 19:29:58Z",2008-09-29 19:47:49Z,https://stackoverflow.com/questions/148071/problem-using-large-binary-segment-in-ooxml,"148,071,174,086,150,000"
2008-10-17 03:07:53Z,"2008-10-17 03:07:53Z,2008-10-17 12:11:04Z","2008-10-17 04:07:19Z,2008-10-17 04:16:35Z",https://stackoverflow.com/questions/210978/using-os-execvp-in-python,"210,978,210,982,211,000"
2008-10-18 19:59:25Z,"2008-10-18 19:59:25Z,2008-10-17 20:00:47Z,2008-10-17 20:47:20Z","2008-10-17 20:03:19Z,2008-10-17 20:26:13Z,2017-12-21 22:02:27Z,2008-10-17 20:24:58Z,2008-10-18 02:53:39Z,2008-10-18 11:06:03Z",https://stackoverflow.com/questions/213628/how-to-convert-a-c-string-char-array-into-a-python-string-when-there-are-non-a,"213,628,215,507,213,000,000,000"
2009-01-07 05:48:28Z,"2009-01-07 05:48:28Z,2009-01-07 05:06:09Z,2009-01-07 06:01:46Z,2009-01-07 05:05:31Z,2012-11-26 08:14:06Z","2009-12-21 14:37:42Z,2016-11-12 23:52:14Z,2010-01-29 11:49:36Z,2013-04-22 22:06:17Z",https://stackoverflow.com/questions/419240/how-to-get-javascript-function-data-into-a-php-variable,"41,924,041,932,641,900,000,000,000,000,000,000,000"
2009-01-13 11:28:40Z,"2010-09-25 10:55:08Z,2009-01-13 11:28:40Z,2009-01-14 20:00:08Z,2009-01-13 11:15:46Z,2014-06-16 16:07:00Z,2009-01-13 11:11:40Z","2017-01-21 10:01:54Z,2017-01-23 21:40:06Z,2017-01-21 09:59:54Z,2017-01-21 09:58:49Z",https://stackoverflow.com/questions/438594/how-to-call-java-objects-and-functions-from-cpython,"438,594,379,350,443,000,000,000,000,000,000,000,000,000,000"
2009-02-10 23:01:15Z,"2009-02-10 23:01:15Z,2009-02-10 07:07:37Z,2009-02-10 07:09:54Z,2009-02-10 07:24:23Z","2009-02-16 14:43:53Z,2009-02-16 14:42:29Z,2009-02-10 08:37:29Z,2009-02-10 09:31:27Z,2009-02-16 14:41:54Z",https://stackoverflow.com/questions/531311/how-can-i-generate-dynamic-javascript,"531,311,534,655,531,000,000,000,000,000"
2009-04-07 15:48:37Z,"2009-04-07 15:48:37Z,2011-12-20 09:39:47Z,2009-04-07 15:53:18Z,2009-04-07 15:54:04Z,2009-04-07 15:55:04Z,2009-04-07 15:55:29Z","2009-04-07 15:54:38Z,2009-04-07 15:59:49Z,2016-06-22 11:04:15Z",https://stackoverflow.com/questions/726410/serialize-in-c-then-deserialize-in-c,"7,264,107,264,208,570,000,000,000,000,000,000,000,000,000"
