answers_reputation,answers_vote,link
"191,22613","7,4",https://stackoverflow.com/questions/50149603/could-wasm-be-used-to-check-integrity-of-a-js-method
"6677,1491,6560,475,739,3171,781,21,587","244,137,11,10,6,5,4,2,1",https://stackoverflow.com/questions/4377109/shell-script-execute-a-python-program-from-within-a-shell-script
641,1,https://stackoverflow.com/questions/38199051/boost-python-make-constructor-and-custodians-and-ward
"10640,80678,50695,8803","8,1,0,0",https://stackoverflow.com/questions/4167233/how-do-i-pass-arrays-from-java-to-c-using-swig
49047,10,https://stackoverflow.com/questions/11926340/how-to-pass-a-c-object-to-another-c-object-with-boost-python
"1534,108511,134,412,11878,714,383,3963,3997","141,26,10,10,3,2,1,0,0",https://stackoverflow.com/questions/33326699/passing-laravel-array-in-javascript
"67960,794,4716,3646,1970,73,23103,867,1316","229,41,15,11,8,6,6,5,1",https://stackoverflow.com/questions/15485354/angularjs-http-post-to-php-and-undefined
"1279,11079,565","9,1,1",https://stackoverflow.com/questions/21278915/getting-to-interactive-django-shell-in-pydev
"10975,169","8,1",https://stackoverflow.com/questions/14661249/java-jni-creating-a-swing-window-using-jni-from-c
"39438,137,757,71,21","53,4,3,3,2",https://stackoverflow.com/questions/21153805/convert-php-associative-array-into-javascript-object
11117,11,https://stackoverflow.com/questions/29745584/using-getdirectbufferaddress-from-jni
224646,6,https://stackoverflow.com/questions/44123252/detecting-c-types-limits-limits-h-in-python
"52082,8210,380678,10671,3668,719","7,2,2,0,0,0",https://stackoverflow.com/questions/2566764/encode-compress-sequence-of-repeating-integers
"15116,506538","4,0",https://stackoverflow.com/questions/8654519/what-happens-if-i-call-a-java-function-from-multiple-threads-from-c-with-jni
"20164,108095,304335,4914","7,5,2,0",https://stackoverflow.com/questions/2462230/interacting-with-java-code-from-c-sharp
"1673,450","2,1",https://stackoverflow.com/questions/46420476/polymorphic-exception-handling-how-to-catch-subclass-exception
"13586,264","3,1",https://stackoverflow.com/questions/39193510/how-to-insert-arbitrary-json-in-htmls-script-tag
"18092,11821","6,3",https://stackoverflow.com/questions/2663429/what-is-the-best-way-to-identify-which-form-has-been-submitted
"114939,3573,10445,1040,563","5,3,0,0,0",https://stackoverflow.com/questions/58927296/adding-utf-8-support-to-js-php-script
12466,13,https://stackoverflow.com/questions/799076/returning-a-stdstring-from-a-c-dll-to-a-c-sharp-program-invalid-address-s
"115874,12709","15,1",https://stackoverflow.com/questions/39948485/how-can-i-convert-python-boolean-object-to-c-int-or-c-boolean-python-c-api
"13073,3314","24,4",https://stackoverflow.com/questions/29733594/thymeleaf-print-json-string-as-json-object-into-a-javascript-variable
"11438,117,734","3,2,0",https://stackoverflow.com/questions/44331769/how-to-post-a-tweet-using-codebird-php-from-pop-up-window
"137,1699","1,0",https://stackoverflow.com/questions/473029/how-can-i-get-the-full-backtrace-in-spidermonkey-jsapi-from-my-reporterror-fun
"19880,964,9372,21,66440,537,2389","53,11,7,2,1,0,0",https://stackoverflow.com/questions/4365738/how-to-access-php-session-variables-from-jquery-function-in-a-js-file
"26127,13893","2,0",https://stackoverflow.com/questions/4591461/marshalling-a-char-in-c-sharp
"1009,10078,19857,1763,15574,953","5,4,1,1,1,1",https://stackoverflow.com/questions/13242098/why-should-i-embed-a-scripting-language
"96265,53442","22,18",https://stackoverflow.com/questions/1309509/correct-way-to-marshal-size-t
4955,4,https://stackoverflow.com/questions/9696980/php-constant-inside-js-file
"53940,1954,25122,83","1,0,0,0",https://stackoverflow.com/questions/2357106/weird-mono-compilation-error
"12053,148461","11,2",https://stackoverflow.com/questions/2381241/what-is-the-subprocess-popen-max-length-of-the-args-parameter
"886524,1532,698,173","16,13,3,3",https://stackoverflow.com/questions/13289171/marshalasunmanagedtype-lpstr-how-does-this-convert-utf-8-strings-to-char
"8399,159637","3,2",https://stackoverflow.com/questions/6872482/how-to-write-javascript-in-the-code-behind-file
"34093,5917,366613,7421,9990,8224","12,3,1,1,1,0",https://stackoverflow.com/questions/808692/creating-an-interactive-shell-for-net-apps-and-embed-scripting-languages-like-p
"9551,70298,62575","6,3,2",https://stackoverflow.com/questions/213628/how-to-convert-a-c-string-char-array-into-a-python-string-when-there-are-non-a
886524,13,https://stackoverflow.com/questions/8241732/application-exits-no-exception-when-referencing-64bit-dll-from-c-sharp
15261,7,https://stackoverflow.com/questions/3456345/gwt-how-to-return-and-handle-an-error-from-multipart-form-file-upload
"12494,21","9,2",https://stackoverflow.com/questions/9993465/handling-session-timeout-on-client-side
"687259,16973","10,8",https://stackoverflow.com/questions/32028339/writing-a-long-from-java-in-a-file-and-reading-it-in-c
788456,1,https://stackoverflow.com/questions/2480565/directory-layout-for-a-python-project-with-c-extension-modules
"13559,886524,60140,140460","7,2,1,1",https://stackoverflow.com/questions/7057022/is-it-safe-to-keep-c-pointers-in-c
"6638,159808,5630,5514,302","6,2,1,1,1",https://stackoverflow.com/questions/5700186/meta-programming-into-several-output-languages
