url,commit_sha,html_url,title,type,repo_fullname,tag
https://api.github.com/repos/curl/curl/issues/9003,d2c6d8be18adfe4c49ca8948d04e228ba1a6e9fb,https://github.com/curl/curl/issues/9003,vquic/ngtcp2.h:58:3: error: unknown type name 'ngtcp2_crypto_conn_ref',"build,HTTP/3",curl/curl,intra
https://api.github.com/repos/curl/curl/issues/8953,f810047f9d7a983c4479ae07f79282b7c9b54ccb,https://github.com/curl/curl/issues/8953,disable-cookies build broken since commit 45de940cebf,build,curl/curl,intra
https://api.github.com/repos/curl/curl/issues/8804,8e22fc68e7dda43e9f0b6857b1057d0e9131a4b2,https://github.com/curl/curl/pull/8804,"Fix ""make ca-firefox""",script,curl/curl,intra
https://api.github.com/repos/curl/curl/issues/8755,6e659993952aa5f90f48864be84a1bbb047fc258,https://github.com/curl/curl/issues/8755,./configure --disable-proxy currently brakes these tests: 898 974 976 ,"connecting & proxies,tests",curl/curl,intra
https://api.github.com/repos/curl/curl/issues/8696,c148f0f551f9bea0e3d08f5747b3fe58b811a011,https://github.com/curl/curl/issues/8696,http3: certificate lookup error,"build,KNOWN_BUGS material,HTTP/3",curl/curl,intra
https://api.github.com/repos/curl/curl/issues/8627,bdc664a64002a7df66f34159454844e6b6f5515f,https://github.com/curl/curl/issues/8627,tests: HTTP tests often skipped since March 22,"HTTP,tests,CI",curl/curl,intra
https://api.github.com/repos/curl/curl/issues/8559,d15692ebbad5e9cfb871b0f7f51a73e43762cee2,https://github.com/curl/curl/issues/8559,OpenSSL host verification + hostname in certificate CN only seems broken in 7.82.0,"regression,TLS",curl/curl,intra
https://api.github.com/repos/curl/curl/issues/8384,1bf3643f7b1760f7f92cbb42df2dbdc94e29bf96,https://github.com/curl/curl/issues/8384,Test 1165 [Verify configure.ac and source code CURL_DISABLE_-sync] failing,build,curl/curl,intra
https://api.github.com/repos/curl/curl/issues/8240,c148f0f551f9bea0e3d08f5747b3fe58b811a011,https://github.com/curl/curl/issues/8240,"Compile error 7.81.0 with OpenSSL 1.0.2u (VC14, Winbuild, multissl)","build,Windows",curl/curl,intra
https://api.github.com/repos/curl/curl/issues/7995,4d58a94cd80eb46d5deb98989d82c683a3f7e199,https://github.com/curl/curl/issues/7995,libcurl.so: undefined reference to `Curl_connect_done',build,curl/curl,intra
